
              X1               X2               X3               X4               X5 
      0.21224062       0.91890420       0.26423478       0.92510715        2.6262465 
      0.31425676       0.90995974       0.30807431       0.89844652        4.8400753 
      0.68091892       0.80094449       0.52171935       0.92435939        2.7921374 
      0.47994014       0.77268635       0.28023042        1.0541629        2.0036785 
      0.40176221       0.87873022       0.30700831       0.91189187        3.8484744 
      0.29444529       0.91233241       0.33759123       0.95987804        3.9036562 
      0.74034902       0.78169353       0.72955208       0.86892668        3.6184819 
      0.37001867       0.87979088       0.29049456       0.97668251        2.8538802 
      0.31210446       0.88395667       0.50590387       0.97796950        2.6440055 
      0.49834421       0.83085811       0.50037587       0.90115805        2.6921058 
      0.64610592       0.78025632       0.58695283       0.89625213        2.3083854 
      0.25171230       0.89456620       0.47044874        1.0137009        2.0092459 
      0.45591948       0.90122557       0.34813509       0.83864192        9.4850151 
      0.83153886       0.81147478       0.29174668       0.86064476        7.9291232 
      0.29259926       0.90387040       0.27126240        1.0060664        3.8996210 
      0.32764856       0.91826941       0.41809662       0.87069287        6.3941783 
      0.95995370       0.67058248       0.36436848       0.93425817        3.0728930 
      0.22012222       0.91878468       0.36571404       0.97895174        2.8831067 
      0.32174829       0.90510112       0.38584822        1.0132512        3.3473834 
      0.60159992       0.82439943       0.26629680       0.91980758        3.3943753 
      0.96799584       0.82513754       0.24927400       0.92238031        37.245035 
      0.46629470       0.87455702       0.29026893       0.90212633        5.4989106 
      0.33457243       0.88835136       0.30150968        1.0712765        2.3479623 
      0.28144398       0.89006444       0.31848927       0.96066411        2.6721408 
      0.73031905       0.81787958       0.34533544       0.86129771        5.9892292 
      0.25392983       0.90996560       0.45238396       0.93773698        3.1725871 
      0.31582552       0.90052150       0.43602232       0.96645325        2.1101298 
      0.24588009       0.90655859       0.40601366       0.89987035        3.3788540 
      0.16166161       0.92150112       0.29585125        1.0656957        2.0455282 
      0.30656920       0.93508805       0.36225245       0.82641202        8.5656660 
      0.58338484       0.88979935       0.27249911       0.89308456        20.425902 
      0.56074412       0.84893378       0.47708024       0.83947259        4.3295364 
      0.28611212       0.87865835       0.52035254        1.0723026        1.8797393 
      0.41257094       0.83757234       0.22609772        1.0596510        2.3833270 
      0.43423500       0.84226952       0.25735527       0.97549747        3.0824391 
      0.42975569       0.85668031       0.42137333       0.94773404        3.6293758 
      0.37359655       0.87093580       0.45217498       0.91581363        2.8318622 
      0.82535770       0.71884668       0.62489409       0.97806123        3.3265286 
      0.40710149       0.90401930       0.37107568       0.80529845        9.5444844 
      0.37390881       0.86873503       0.34896913       0.97211458        2.8080118 
      0.47836334       0.83848573       0.45798002       0.97193325        2.8670666 
      0.40631192       0.85090761       0.38425453        1.1022365        2.3080411 
      0.26158692       0.90828108       0.28731165        1.0029015        2.6268926 
      0.60129120       0.90519693       0.40820469       0.76745191        30.794490 
      0.24217010       0.90878844       0.26134449        1.0281220        2.4667982 
      0.33919943       0.93787827       0.37398107       0.75331254        12.042775 
      0.27446792       0.89147890       0.45526897        1.1189532        1.8039979 
      0.18412157       0.93842071       0.37882677       0.93637371        3.0692714 
      0.49467661       0.86154904       0.35899842       0.94938575        3.6869147 
       1.9559585       0.53745589       0.37742834       0.87866562        7.6675686 
      0.48800630       0.90358874       0.38069294       0.84058441        10.779318 
      0.41319330       0.90023617       0.49710866       0.81562622        4.8614606 
      0.28668269       0.88933843       0.37015194       0.98800918        1.9363409 
      0.43830877       0.89547163       0.35762461       0.93092149        7.8021677 
       1.4153498       0.50054228       0.52020306       0.96661204        3.7683978 
      0.38797805       0.84995050       0.42281807       0.95797771        2.2616246 
      0.63148598       0.83442789       0.57800588       0.80396871        4.5600755 
      0.70255265       0.78050698       0.34545159       0.88249395        3.1549927 
      0.20604881       0.89864428       0.28513873        1.0390756        1.6945232 
      0.34243880       0.88875469       0.46175731       0.95427513        2.9394978 
      0.84815864       0.74118873       0.47195279       0.94963294        2.9861344 
      0.33427183       0.90098743       0.24812889       0.95719897        5.0401899 
      0.49978382       0.86992623       0.41982650       0.92337190        5.2771231 
      0.48600582       0.92045091       0.24007719       0.86961465        26.798747 
      0.80277212       0.66760121       0.46758104        1.1207637        1.8812547 
      0.22539278       0.83422761       0.32290457        1.3464554        1.0568720 
      0.29586201       0.90654742       0.41039157       0.98332369        3.8098300 
      0.69982559       0.79867849       0.35213211       0.90690342        4.6374447 
      0.42247204       0.84259616       0.46102038        1.0609651        2.3506565 
      0.18541754       0.91320024       0.17792314        1.1156142        1.7096031 
      0.89296008       0.71815312       0.56599908        1.0076679        2.8003704 
      0.27117677       0.93531439       0.30144182       0.88797493        11.060014 
      0.37622154       0.94788360       0.37624432       0.84482617        48.092264 
      0.28463767       0.86991773       0.54222837       0.99410400        2.0368637 
       1.6044633       0.77625125       0.21192292       0.80146530        71.992202 
      0.46095647       0.87029963       0.29874478       0.93483618        5.3559982 
      0.50875153       0.85909102       0.21768199       0.95261514        5.1864842 
      0.32486251       0.85805096       0.33613477        1.1571438        2.0154300 
      0.20291411       0.93699294       0.25625269        1.0179395        3.9256190 
      0.40182400       0.87444102       0.29349207       0.99039852        2.9064956 
      0.62560268       0.80686600       0.44412470       0.95697667        3.6142414 
      0.24374196       0.91462932       0.30945872        1.0048928        2.8756484 
      0.78371244       0.76839160       0.37163518       0.90692877        4.3380500 
      0.30917590       0.85397871       0.53444385        1.1601584        1.4099779 
       1.6874416       0.57730126       0.37343119       0.92860948        6.0951238 
      0.50830102       0.87301189       0.37586205       0.88803083        4.0410704 
      0.81222746       0.75702949       0.35554864       0.91351680        3.3137712 
      0.41956628       0.83838105       0.48219660       0.94767054        2.2807605 
      0.36344213       0.86485270       0.25061115        1.1318207        1.8942514 
      0.25693045       0.91586962       0.30681895       0.93415225        3.7524227 
      0.68532534       0.79781937       0.32562531       0.91748920        5.3064275 
      0.26205768       0.92052276       0.44561268       0.86846526        4.1481348 
      0.25006313       0.93686746       0.29988382       0.94419726        5.2300697 
      0.37517298       0.90846369       0.33271151       0.86847687        4.3822153 
      0.18796321       0.93500900       0.34799671        1.0498939        2.7166478 
      0.32824475       0.88190408       0.42700515       0.92755963        2.8414806 
      0.19210478       0.93455561       0.34173514       0.88740172        3.3903313 
      0.16777145       0.90493590       0.31585717        1.1897553        1.2932411 
      0.29621977       0.87978019       0.43233541        1.0587618        1.6620630 
      0.61314965       0.85176130       0.30537984       0.86563234        7.8719193 
      0.69042948       0.83397176       0.26121248       0.87837764        6.3447620 
      0.33332010       0.89487518       0.31312770       0.98178969        2.3911970 
      0.67270873       0.90943068       0.41125445       0.70379768        42.655325 
      0.15747231       0.93071279       0.42939433       0.94621067        2.3098849 
      0.30893354       0.87111992       0.35921035        1.2095580        1.6248429 
      0.34288673       0.87035628       0.48736675        1.0048482        2.0582435 
      0.45932446       0.85395013       0.39537316       0.86714213        3.5969905 
      0.38139270       0.88419987       0.45591975       0.82772802        3.8922058 
      0.63589580       0.83502940       0.51620470       0.89394133        4.6311843 
      0.26490277       0.90269961       0.39105608       0.97831281        3.1822753 
